qdate,bid_1,ave_1,ask_1,dur_1,crspid_1,bid_3,ave_3,ask_3,dur_3,crspid_3
19630131,2.955,2.929,2.904,35,19630307.400000,2.982,2.972,2.961,91,19630502.400000
19630228,2.873,2.843,2.812,35,19630404.400000,2.951,2.941,2.931,92,19630531.400000
19630329,2.873,2.853,2.832,34,19630502.400000,2.961,2.951,2.941,90,19630627.400000
19630430,2.893,2.858,2.822,31,19630531.400000,2.962,2.951,2.941,93,19630801.400000
19630531,2.985,2.960,2.934,35,19630705.400000,3.053,3.043,3.033,90,19630829.400000
19630628,3.005,2.985,2.965,34,19630801.400000,3.043,3.033,3.022,90,19630926.400000
19630731,3.097,3.056,3.016,36,19630905.400000,3.329,3.319,3.309,92,19631031.400000
19630830,3.300,3.265,3.229,34,19631003.400000,3.452,3.437,3.421,91,19631129.400000
19630930,3.462,3.432,3.401,31,19631031.400000,3.473,3.442,3.411,94,19640102.400000
19631031,3.321,3.285,3.249,35,19631205.400000,3.544,3.529,3.513,91,19640130.400000
19631129,3.331,3.280,3.229,34,19640102.400000,3.564,3.554,3.544,90,19640227.400000
19631231,3.513,3.483,3.452,30,19640130.400000,3.595,3.585,3.575,93,19640402.400000
19640131,3.473,3.448,3.422,34,19640305.400000,3.564,3.554,3.544,90,19640430.400000
19640228,3.565,3.534,3.504,34,19640402.400000,3.667,3.656,3.646,90,19640528.400000
19640331,3.554,3.528,3.503,30,19640430.400000,3.606,3.590,3.575,93,19640702.400000
19640430,3.382,3.356,3.331,35,19640604.400000,3.513,3.503,3.493,91,19640730.400000
19640528,3.290,3.265,3.239,35,19640702.400000,3.534,3.523,3.513,91,19640827.400000
19640630,3.452,3.411,3.371,30,19640730.400000,3.513,3.493,3.473,92,19640930.400000
19640731,3.320,3.259,3.198,31,19640831.400000,3.534,3.508,3.483,92,19641031.400000
19640831,3.330,3.264,3.198,30,19640930.400000,3.523,3.498,3.472,91,19641130.400000
19640930,3.554,3.523,3.493,31,19641031.400000,3.616,3.605,3.595,92,19641231.400000
19641030,3.462,3.427,3.391,31,19641130.400000,3.615,3.605,3.595,90,19650128.400000
19641130,3.666,3.574,3.483,31,19641231.400000,3.902,3.856,3.810,90,19650228.400000
19641231,3.503,3.427,3.351,31,19650131.400000,3.851,3.815,3.779,90,19650331.400000
19650129,3.930,3.884,3.839,30,19650228.400000,3.933,3.902,3.871,91,19650430.400000
19650226,3.900,3.849,3.798,33,19650331.400000,4.056,4.036,4.015,94,19650531.400000
19650331,3.859,3.788,3.717,30,19650430.400000,4.005,3.994,3.984,92,19650701.400000
19650430,3.900,3.859,3.818,31,19650531.400000,3.984,3.974,3.963,90,19650729.400000
19650528,3.809,3.732,3.656,33,19650630.400000,3.943,3.933,3.922,90,19650826.400000
19650630,3.859,3.783,3.707,31,19650731.400000,3.882,3.866,3.851,92,19650930.400000
19650730,3.829,3.768,3.707,32,19650831.400000,3.881,3.871,3.861,90,19651028.400000
19650831,3.859,3.783,3.706,30,19650930.400000,3.912,3.882,3.851,91,19651130.400000
19650930,4.063,3.986,3.910,31,19651031.400000,4.097,4.086,4.076,91,19651230.400000
19651029,3.910,3.849,3.788,32,19651130.400000,4.137,4.122,4.107,90,19660127.400000
19651130,3.889,3.798,3.706,30,19651230.400000,4.158,4.122,4.086,90,19660228.400000
19651231,4.368,4.266,4.164,31,19660131.400000,4.578,4.563,4.547,90,19660331.400000
19660131,4.571,4.531,4.490,31,19660303.400000,4.723,4.687,4.651,94,19660505.400000
19660228,4.500,4.459,4.419,31,19660331.400000,4.722,4.676,4.630,92,19660531.400000
19660331,4.571,4.418,4.266,30,19660430.400000,4.609,4.594,4.578,91,19660630.400000
19660429,4.653,4.602,4.551,32,19660531.400000,4.742,4.727,4.711,90,19660728.400000
19660531,4.520,4.459,4.398,30,19660630.400000,4.722,4.676,4.630,92,19660831.400000
19660630,4.775,4.520,4.266,31,19660731.400000,4.671,4.650,4.630,91,19660929.400000
19660729,4.725,4.546,4.368,33,19660831.400000,4.865,4.845,4.824,90,19661027.400000
19660831,4.927,4.724,4.520,30,19660930.400000,5.122,5.035,4.948,91,19661130.400000
19660930,5.284,5.157,5.029,31,19661031.400000,5.482,5.421,5.359,92,19661231.400000
19661031,4.978,4.775,4.571,30,19661130.400000,5.379,5.308,5.236,92,19670131.400000
19661130,4.571,4.266,3.961,31,19661231.400000,5.266,5.251,5.236,92,19670302.400000
19661230,4.673,4.470,4.266,32,19670131.400000,4.917,4.896,4.876,91,19670331.400000
19670131,4.602,4.546,4.490,30,19670302.400000,4.600,4.584,4.569,93,19670504.400000
19670228,4.551,4.485,4.419,30,19670330.400000,4.650,4.609,4.568,92,19670531.400000
19670331,4.164,4.062,3.961,30,19670430.400000,4.086,4.066,4.045,90,19670629.400000
19670428,3.605,3.453,3.300,33,19670531.400000,3.800,3.784,3.769,90,19670727.400000
19670531,3.350,3.249,3.147,30,19670630.400000,3.524,3.508,3.493,92,19670831.400000
19670630,3.910,3.707,3.503,31,19670731.400000,4.076,4.000,3.923,92,19670930.400000
19670731,3.910,3.808,3.707,31,19670831.400000,4.281,4.199,4.117,92,19671031.400000
19670831,4.012,3.859,3.706,30,19670930.400000,4.466,4.450,4.435,91,19671130.400000
19670929,4.266,4.154,4.042,32,19671031.400000,4.476,4.455,4.435,90,19671228.400000
19671031,4.215,4.149,4.083,30,19671130.400000,4.630,4.579,4.527,92,19680131.400000
19671130,4.520,4.190,3.859,31,19671231.400000,5.050,5.035,5.020,91,19680229.400000
19671229,4.470,4.343,4.216,33,19680131.400000,5.142,5.122,5.101,90,19680328.400000
19680131,4.858,4.807,4.756,36,19680307.400000,4.979,4.963,4.948,92,19680502.400000
19680229,4.775,4.673,4.571,31,19680331.400000,5.123,5.107,5.092,92,19680531.400000
19680329,5.030,4.852,4.673,32,19680430.400000,5.267,5.185,5.102,93,19680630.400000
19680430,5.742,5.488,5.233,31,19680531.400000,5.616,5.554,5.493,92,19680731.400000
19680531,5.538,5.386,5.233,30,19680630.400000,5.822,5.734,5.647,92,19680831.400000
19680628,5.489,5.285,5.081,33,19680731.400000,5.410,5.394,5.379,90,19680926.400000
19680731,5.437,5.259,5.080,31,19680831.400000,5.277,5.261,5.246,92,19681031.400000
19680830,5.080,4.938,4.795,31,19680930.400000,5.287,5.271,5.256,91,19681129.400000
19680930,5.294,5.162,5.029,31,19681031.400000,5.236,5.159,5.082,92,19681231.400000
19681031,5.640,5.411,5.182,30,19681130.400000,5.595,5.544,5.493,92,19690131.400000
19681129,5.050,4.836,4.623,32,19681231.400000,5.605,5.549,5.492,91,19690228.400000
19681231,6.303,6.099,5.895,30,19690130.400000,6.389,6.368,6.347,93,19690403.400000
19690131,6.111,5.999,5.887,34,19690306.400000,6.325,6.310,6.294,90,19690501.400000
